,text,phonetics,segmented_text,n_syl_mismatches,n_stress_inconsistencies,used_method_for_syl_text,phonetics_alt,n_alternatives
0,"Author of the danger trail, Philip Steels, etc.",ɑː1|θ_ɚ0 ə0 d̪_iː0 d_ej1_n|dʒ_ɚ0 t_ɹ_ej1_ɫ fʲ_ɪ1|ʎ_ɪ0_p s_tʲ_iː1_ɫ_z ɛ1|t_s_ɛ0|t_ɛ0|t_ɹ_ə0,Au|thor of the dan|ger trail Phil|ip Steels et|cet|er|a,[],[],"['dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset']","[['ɑː1|θ_ɚ0', 'ɒː1|θ_ɚ0'], ['ə0', 'ə0_v'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['d_ej1_n|dʒ_ɚ0'], ['t_ɹ_ej1_ɫ'], ['fʲ_ɪ1|ʎ_ɪ0_p'], ['s_tʲ_iː1_ɫ_z'], ['ɛ1|t_s_ɛ0|t_ɛ0|t_ɹ_ə0', 'ɛ1|t_s_ɛ0|ɾ_ɛ0|t_ɹ_ə0']]","[2, 2, 12, 1, 1, 1, 1, 2]"
1,"Not at this particular case, Tom, apologized Whittemore.",n_ɑ1_t æ0_t d̪_ɪ1_s pʰ_ɑ0_ɹ|tʰ_ɪ1|c_ə0|l_ɚ0 cʰ_ej1_s tʰ_ɑ1_m ə0|pʰ_ɑ1|l_ə0|dʒ_aj0_z_d w_ɪ1|t_ə0|m_ɒ0_ɹ,Not at this par|tic|u|lar case Tom a|pol|o|gized Whi|tte|more,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'SonoriPy']","[['n_ɑ1_t', 'n_ɑ1_ɾ', 'n_ɑ1_ʔ', 'n_ə1_t', 'n_ə1_ɾ', 'n_ə1_ʔ'], ['æ0_t', 'æ0_ɾ', 'æ0_ʔ'], ['d̪_ɪ1_s', 'ð_ɪ1_s'], ['pʰ_ɑ0_ɹ|tʰ_ɪ1|c_ə0|l_ɚ0', 'pʰ_ə0|tʰ_ɪ1|c_ə0|l_ɚ0'], ['cʰ_ej1_s'], ['tʰ_ɑ1_m'], ['ə0|pʰ_ɑ1|l_ə0|dʒ_aj0_z_d'], ['w_ɪ1|t_ə0|m_ɒ0_ɹ', 'w_ɪ1|tʲ_ɪ0|m_ɒ0_ɹ']]","[6, 3, 2, 2, 1, 1, 1, 2]"
2,For the twentieth time that evening the two men shook hands.,f_ɒ0_ɹ d̪_iː0 t_w_ɛ1_n|tʲ_i0|ə0_θ tʰ_aj1_m d̪_æ1_t iː1|v_ɲ_ɪ0_ŋ d̪_iː0 tʰ_ʉ1 m_ɛ1_n ʃ_ʊ1_k h_æ1_n_z,For the twen|ti|eth time that eve|ning the two men shook hands,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['f_ɒ0_ɹ', 'f_ɚ0'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['t_w_ɛ1_n|tʲ_i0_ə_θ', 't_w_ɛ1|ɲ_i0_ə_θ', 't_w_ɛ1_n|tʲ_i0|ə0_θ', 't_w_ɛ1|ɲ_i0|ə0_θ'], ['tʰ_aj1_m'], ['d̪_æ1_t', 'd̪_æ1_ɾ', 'd̪_æ1_ʔ', 'l_æ1_t', 'l_æ1_ɾ', 'l_æ1_ʔ', 'n_æ1_t', 'n_æ1_ɾ', 'n_æ1_ʔ', 'z_æ1_t', 'z_æ1_ɾ', 'z_æ1_ʔ', 'ð_æ1_t', 'ð_æ1_ɾ', 'ð_æ1_ʔ'], ['iː1|v_ə0|ɲ_ɪ0_ŋ', 'iː1|v_ɲ_ɪ0_ŋ'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['tʰ_ʉ1'], ['m_ɛ1_n'], ['ʃ_ʊ1_k'], ['h_æ1_n_z']]","[2, 12, 4, 1, 15, 2, 12, 1, 1, 1, 1]"
3,"Lord, but I'm glad to see you again, Phil.",l_ɒ1_ɹ_d b_ɐ0_t aj0_m ɟ_ʎ_æ1_d t_ə0 s_iː1 j_ə0 ə0|ɟ_ej1_n fʲ_ɪ1_ɫ,Lord but I'm glad to see you a|gain Phil,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl']","[['l_ɒ1_ɹ_d'], ['b_ɐ0_t', 'b_ɐ0_ʔ', 'b_ə0_ɾ'], ['aj0_m', 'ɑː0_m'], ['ɟ_ʎ_æ1_d'], ['t_ə0', 'tʰ_ʉː0', 'tʰ_ʊ0', 'ɾ_ə0'], ['s_iː1'], ['j_ə0', 'j_ʉː0'], ['ə0|ɟ_ej1_n', 'ə0|ɟ_ɛ1_n'], ['fʲ_ɪ1_ɫ']]","[1, 3, 2, 1, 4, 1, 2, 2, 1]"
4,Will we ever forget it.,w_ɪ1_ɫ w_iː0 ɛ1|v_ɚ0 f_ɒ0_ɹ|ɟ_ɛ1_t ɪ0_t,Will we ev|er for|get it,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'dataset', '1 vowel = 1 syl']","[['w_ɪ1_ɫ', 'w_ɫ̩1'], ['w_iː0'], ['ɛ1|v_ɚ0'], ['f_ɒ0_ɹ|ɟ_ɛ1_t', 'f_ɒ0_ɹ|ɟ_ɛ1_ʔ', 'f_ɚ0|ɟ_ɛ1_t', 'f_ɚ0|ɟ_ɛ1_ʔ'], ['ɪ0_t', 'ɪ0_ɾ', 'ɪ0_ʔ']]","[2, 1, 1, 4, 3]"
5,"God bless 'em, I hope I'll go on seeing them forever.",ɡ_ɑ1_d b_l_ɛ1_s m̩1 aj1 h_ow1_p aj0_ɫ ɡ_ow1 ɑ1_n s_iː1|ɪ0_ŋ d̪_m̩0 f_ə0|ɹ_ɛ1|v_ɚ0,God bless 'em I hope I'll go on see|ing them for|ev|er,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'acronym', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset']","[['ɡ_ɑ1_d'], ['b_l_ɛ1_s'], ['m̩1', 'ɛ1_m', 'ɪ1_m'], ['aj1'], ['h_ow1_p'], ['aj0_ɫ', 'ɑː0_ɫ', 'ɫ̩0'], ['ɡ_ow1'], ['ow1|ɛ0_n', 'ɑ1_n', 'ɒ1_n', 'ə1_n'], ['s_iː1|ɪ0_ŋ'], ['d̪_m̩0', 'd̪_ɛ0_m', 'm̩0', 'ð_m̩0', 'ð_ɛ0_m', 'ɛ0_m'], ['f_ə0|ɹ_ɛ1|v_ɚ0']]","[1, 1, 3, 1, 1, 3, 1, 4, 1, 6, 1]"
6,And you always want to see it in the superlative degree.,n̩0 j_ə0 ɑː1|w_ej0_z w_ɐ1_n_t t_ə0 s_iː1 ɪ0_t n̩1 d̪_iː0 s_ʉ0|pʰ_ɝ1|l_ə0|tʲ_ɪ0_v dʲ_ɪ0|ɟ_ɹ_iː1,And you al|ways want to see it in the su|per|la|tive de|gree,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'dataset']","[['n̩0', 'n̩0_d', 'æ0_n', 'æ0_n_d', 'æ0_n_ʔ', 'æ0_ʔ', 'ɛ0_n'], ['j_ə0', 'j_ʉː0'], ['ɑː1|w_ej0_z', 'ɑː1_ɫ|w_ej0_z', 'ɒː1|w_ej0_z', 'ɒː1_ɫ|w_ej0_z'], ['w_ɐ1_n_t', 'w_ɑ1_n', 'w_ɑ1_n_t', 'w_ɒ1_n_t'], ['t_ə0', 'tʰ_ʉː0', 'tʰ_ʊ0', 'ɾ_ə0'], ['s_iː1'], ['ɪ0_t', 'ɪ0_ɾ', 'ɪ0_ʔ'], ['n̩1', 'ɪ1_n'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['s_ʉ0|pʰ_ɝ1|l_ə0|tʲ_ɪ0_v', 's_ʉ0|pʰ_ɝ1|l_ə0|ɾʲ_ɪ0_v'], ['dʲ_ɪ0|ɟ_ɹ_iː1']]","[7, 2, 4, 4, 4, 1, 3, 2, 12, 2, 1]"
7,"Gad, your letter came just in time.",ɡ_æ1_d j_ɒ0_ɹ l_ɛ1|t_ɚ0 cʰ_ej1_m dʒ_ɐ1_s_t n̩1 tʰ_aj1_m,Gad your let|ter came just in time,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['ɡ_æ1_d'], ['j_ɒ0_ɹ', 'j_ɚ0', 'j_ʊ0_ɹ'], ['l_ɛ1|t_ɚ0', 'l_ɛ1|ɾ_ɚ0'], ['cʰ_ej1_m'], ['dʒ_ɐ1_s_t', 'dʒ_ə1_s', 'dʒ_ə1_s_t'], ['n̩1', 'ɪ1_n'], ['tʰ_aj1_m']]","[1, 3, 2, 1, 3, 2, 1]"
8,"He turned sharply, and faced Gregson across the table.",iː0 tʰ_ɝ1_n_d ʃ_ɑ1_ɹ|pʲ_ʎ_i0 n̩0 f_ej1_s_t ɟ_ɹ_ɛ1|ɡ_s_ə0_n ə0|k_ɹ_ɒ1_s d̪_iː0 tʰ_ej1|b_ɫ̩0,He turned sharp|ly and faced Gre|gson a|cross the ta|ble,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'SonoriPy', 'dataset', '1 vowel = 1 syl', 'dataset']","[['iː0', 'ç_iː0'], ['tʰ_ɝ1_n_d'], ['ʃ_ɑ1_ɹ|pʲ_ʎ_i0'], ['n̩0', 'n̩0_d', 'æ0_n', 'æ0_n_d', 'æ0_n_ʔ', 'æ0_ʔ', 'ɛ0_n'], ['f_ej1_s_t'], ['ɟ_ɹ_ɛ1|ɡ_s_ə0_n'], ['ə0|k_ɹ_ɒ1_s'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['tʰ_ej1|b_ɫ̩0']]","[2, 1, 1, 7, 1, 1, 1, 12, 1]"
9,I'm playing a single hand in what looks like a losing game.,aj0_m p_l_ej1|ɪ0_ŋ ej1 s_ɪ1_ŋ|ɡ_ɫ̩0 h_æ1_n_d n̩1 w_ɐ0_t l_ʊ1_k_s l_aj1_k ej1 ʎ_ʉː1|z_ɪ0_ŋ ɟ_ej1_m,I'm play|ing a sin|gle hand in what looks like a los|ing game,[],[],"['1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl']","[['aj0_m', 'ɑː0_m'], ['p_l_ej1|ɪ0_ŋ'], ['ej1'], ['s_ɪ1_ŋ|ɡ_ɫ̩0'], ['h_æ1_n_d'], ['n̩1', 'ɪ1_n'], ['w_ɐ0_t', 'w_ɐ0_ɾ', 'w_ɐ0_ʔ'], ['l_ʊ1_k_s'], ['l_aj1_k'], ['ej1'], ['ʎ_ʉː1|z_ɪ0_ŋ'], ['ɟ_ej1_m']]","[2, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1]"
