,text,phonetics,pronounciation_guide_hr,segmented_text,n_syl_mismatches,n_stress_inconsistencies,used_method_for_syl_text,phonetics_alt,n_alternatives
0,"Author of the danger trail, Philip Steels, etc.",AO1|TH_ER0 AH1_V DH_AH0 D_EY1_N|JH_ER0 T_R_EY1_L F_IH1|L_AH0_P S_T_IY1_L_Z EH2|T_S_EH1|T_ER0|AH0,aw|thuhr uhv thuh deyn|djuhr treyl fi|luhp steelz e|tse|tuhr|uh,Au|thor of the dan|ger trail Phil|ip Steels et|cet|er|a,[],[],"['dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset']","[['AO1|TH_ER0'], ['AH1_V'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['D_EY1_N|JH_ER0'], ['T_R_EY1_L'], ['F_IH1|L_AH0_P', 'F_IH1|L_IH0_P'], ['S_T_IY1_L_Z'], ['EH2|T_S_EH1|T_ER0|AH0']]","[1, 1, 3, 1, 1, 2, 1, 1]"
1,"Not at this particular case, Tom, apologized Whittemore.",N_AA1_T AE1_T DH_IH1_S P_ER0|T_IH1|K_Y_AH0|L_ER0 K_EY1_S T_AA1_M AH0|P_AA1|L_AH0|JH_AY2_Z_D W_IH1|T_M_AO0_R,not at this puhr|ti|kyuh|luhr keys tom uh|po|luh|djayzd wi|tmawr,Not at this par|tic|u|lar case Tom a|pol|o|gized Whi|tte|more,[7],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'SonoriPy']","[['N_AA1_T'], ['AE1_T'], ['DH_IH1_S', 'DH_IH0_S'], ['P_ER0|T_IH1|K_Y_AH0|L_ER0', 'P_AA2|T_IH1|K_Y_AH0|L_ER0'], ['K_EY1_S'], ['T_AA1_M'], ['AH0|P_AA1|L_AH0|JH_AY2_Z_D'], ['W_IH1|T_M_AO0_R', 'HH_W_IH1|T_M_AO0_R']]","[1, 1, 2, 2, 1, 1, 1, 2]"
2,For the twentieth time that evening the two men shook hands.,F_AO1_R DH_AH0 T_W_EH1_N|T_IY0|AH0_TH T_AY1_M DH_AE1_T IY1|V_N_IH0_NG DH_AH0 T_UW1 M_EH1_N SH_UH1_K HH_AE1_N_D_Z,fawr thuh twen|tee|uhth taym that ee|vning thuh too men shuk handz,For the twen|ti|eth time that eve|ning the two men shook hands,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['F_AO1_R', 'F_ER0', 'F_R_ER0'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['T_W_EH1_N|T_IY0|AH0_TH', 'T_W_EH1_N|T_IY0|IH0_TH', 'T_W_EH1|N_IY0|AH0_TH', 'T_W_EH1|N_IY0|IH0_TH'], ['T_AY1_M'], ['DH_AE1_T', 'DH_AH0_T'], ['IY1|V_N_IH0_NG'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['T_UW1'], ['M_EH1_N'], ['SH_UH1_K'], ['HH_AE1_N_D_Z', 'HH_AE1_N_Z']]","[3, 3, 4, 1, 2, 1, 3, 1, 1, 1, 2]"
3,"Lord, but I'm glad to see you again, Phil.",L_AO1_R_D B_AH1_T AY1_M G_L_AE1_D T_UW1 S_IY1 Y_UW1 AH0|G_EH1_N F_IH1_L,lawrd buht aym glad too see yoo uh|gen fil,Lord but I'm glad to see you a|gain Phil,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl']","[['L_AO1_R_D'], ['B_AH1_T'], ['AY1_M', 'AH0_M'], ['G_L_AE1_D'], ['T_UW1', 'T_IH0', 'T_AH0'], ['S_IY1'], ['Y_UW1'], ['AH0|G_EH1_N', 'AH0|G_EY1_N'], ['F_IH1_L']]","[1, 1, 2, 1, 3, 1, 1, 2, 1]"
4,Will we ever forget it.,W_IH1_L W_IY1 EH1|V_ER0 F_ER0|G_EH1_T IH1_T,wil wee e|vuhr fuhr|get it,Will we ev|er for|get it,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'dataset', '1 vowel = 1 syl']","[['W_IH1_L', 'W_AH0_L'], ['W_IY1'], ['EH1|V_ER0'], ['F_ER0|G_EH1_T', 'F_AO0_R|G_EH1_T'], ['IH1_T', 'IH0_T']]","[2, 1, 1, 2, 2]"
5,"God bless 'em, I hope I'll go on seeing them forever.",G_AA1_D B_L_EH1_S AH0_M AY1 HH_OW1_P AY1_L G_OW1 AA1_N S_IY1|IH0_NG DH_EH1_M F_ER0|EH1|V_ER0,god bles uhm ay howp ayl gow on see|ing them fuhr|e|vuhr,God bless 'em I hope I'll go on see|ing them for|ev|er,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'acronym', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset']","[['G_AA1_D'], ['B_L_EH1_S'], ['AH0_M'], ['AY1'], ['HH_OW1_P'], ['AY1_L'], ['G_OW1'], ['AA1_N', 'AO1_N'], ['S_IY1|IH0_NG'], ['DH_EH1_M', 'DH_AH0_M'], ['F_ER0|EH1|V_ER0']]","[1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1]"
6,And you always want to see it in the superlative degree.,AH0_N_D Y_UW1 AO1_L|W_EY2_Z W_AA1_N_T T_UW1 S_IY1 IH1_T IH0_N DH_AH0 S_UH0|P_ER1|L_AH0|T_IH0_V D_IH0|G_R_IY1,uhnd yoo awl|weyz wont too see it in thuh su|puhr|luh|tiv di|gree,And you al|ways want to see it in the su|per|la|tive de|gree,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'dataset']","[['AH0_N_D', 'AE1_N_D'], ['Y_UW1'], ['AO1_L|W_EY2_Z', 'AO1_L|W_IY0_Z'], ['W_AA1_N_T', 'W_AO1_N_T'], ['T_UW1', 'T_IH0', 'T_AH0'], ['S_IY1'], ['IH1_T', 'IH0_T'], ['IH0_N', 'IH1_N'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['S_UH0|P_ER1|L_AH0|T_IH0_V'], ['D_IH0|G_R_IY1']]","[2, 1, 2, 2, 3, 1, 2, 2, 3, 1, 1]"
7,"Gad, your letter came just in time.",G_AE1_D Y_AO1_R L_EH1|T_ER0 K_EY1_M JH_AH1_S_T IH0_N T_AY1_M,gad yawr le|tuhr keym djuhst in taym,Gad your let|ter came just in time,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['G_AE1_D'], ['Y_AO1_R', 'Y_UH1_R'], ['L_EH1|T_ER0'], ['K_EY1_M'], ['JH_AH1_S_T', 'JH_IH0_S_T'], ['IH0_N', 'IH1_N'], ['T_AY1_M']]","[1, 2, 1, 1, 2, 2, 1]"
8,"He turned sharply, and faced Gregson across the table.",HH_IY1 T_ER1_N_D SH_AA1_R|P_L_IY0 AH0_N_D F_EY1_S_T G_R_EH1|G_S_AH0_N AH0|K_R_AO1_S DH_AH0 T_EY1|B_AH0_L,hee tuhrnd shor|plee uhnd feyst gre|gsuhn uh|kraws thuh tey|buhl,He turned sharp|ly and faced Gre|gson a|cross the ta|ble,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'SonoriPy', 'dataset', '1 vowel = 1 syl', 'dataset']","[['HH_IY1'], ['T_ER1_N_D'], ['SH_AA1_R|P_L_IY0'], ['AH0_N_D', 'AE1_N_D'], ['F_EY1_S_T'], ['G_R_EH1|G_S_AH0_N'], ['AH0|K_R_AO1_S'], ['DH_AH0', 'DH_AH1', 'DH_IY0'], ['T_EY1|B_AH0_L']]","[1, 1, 1, 2, 1, 1, 1, 3, 1]"
9,I'm playing a single hand in what looks like a losing game.,AY1_M P_L_EY1|IH0_NG AH0 S_IH1_NG|G_AH0_L HH_AE1_N_D IH0_N W_AH1_T L_UH1_K_S L_AY1_K AH0 L_UW1|Z_IH0_NG G_EY1_M,aym pley|ing uh sing|guhl hand in wuht luks layk uh loo|zing geym,I'm play|ing a sin|gle hand in what looks like a los|ing game,[],[],"['1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl']","[['AY1_M', 'AH0_M'], ['P_L_EY1|IH0_NG'], ['AH0', 'EY1'], ['S_IH1_NG|G_AH0_L'], ['HH_AE1_N_D'], ['IH0_N', 'IH1_N'], ['W_AH1_T', 'HH_W_AH1_T'], ['L_UH1_K_S'], ['L_AY1_K'], ['AH0', 'EY1'], ['L_UW1|Z_IH0_NG'], ['G_EY1_M']]","[2, 1, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1]"
