,text,phonetics,segmented_text,n_syl_mismatches,n_stress_inconsistencies,used_method_for_syl_text,phonetics_alt,n_alternatives
0,"Author of the danger trail, Philip Steels, etc.",ɒː1|θ_ə0 ɒ0_v d̪_iː0 d_ej1_n|dʒ_ə0 t_ɹ_ej1_ɫ f_ɪ1|ʎ_ɪ0_p s_tʲ_iː1_ɫ_z ɛ1|t_s_ɪ0|tʲ_ɪ0|ɹ_ə0,Au|thor of the dan|ger trail Phil|ip Steels et|cet|er|a,[],[],"['dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset']","[['ɒː1|θ_ə0'], ['ɒ0_v', 'ə0', 'ə0_v'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['d_ej1_n|dʒ_ə0'], ['t_ɹ_ej1_ɫ', 'tʃ_ɹ_ej1_ɫ'], ['f_ɪ1|ʎ_ɪ0_p'], ['s_tʲ_iː1_ɫ_z'], ['ɛ1|t_s_ɪ0|tʲ_ɪ0|ɹ_ə0', 'ɛ|t_s_iː|t_ɹ_ə', 'ɛ1|t_s_iː0|tʲ_ɪ0|ɹ_ə0', 'ɪ1|tʰ_s_ɪ0|tʲ_ɪ0|ɹ_ə0', 'ej1|tʰ_s_ɪ0|tʲ_ɪ0|ɹ_ə0', 'ej|tʰ_s_iː|t_ɹ_ə', 'ej1|tʰ_s_iː0|tʲ_ɪ0|ɹ_ə0', 'ej_tʰ_s|tʲ_ɪ|ɹ_ə', 'iː1|tʲ_iː0|s_ɪ0|tʲ_ɪ0|ɹ_ə0', 'iː1|tʲ_iː0|s_iː0|t_ɹ_ə0', 'iː1|tʲ_iː0|s_iː0|tʲ_ɪ0|ɹ_ə0']]","[1, 3, 12, 1, 2, 1, 1, 11]"
1,"Not at this particular case, Tom, apologized Whittemore.",n_ɑ1_t æ0_t d̪_ɪ1_s pʰ_ə0|t_ɪ1|c_ʊ0|l_ə0 cʰ_ej1_s tʰ_ɒ1_m ə0|pʰ_ɒ1|l_ə0|dʒ_aj0_z_d w_ɪ1|t_ə0|m_ɒː0,Not at this par|tic|u|lar case Tom a|pol|o|gized Whi|tte|more,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'SonoriPy']","[['n_ɑ1_t', 'n_ɑ1_ʔ', 'n_ɒ1_t', 'n_ɒ1_ʔ'], ['æ0_t', 'æ0_ʔ'], ['d̪_ɪ1_s', 'ð_ɪ1_s'], ['pʰ_ə0|t_ɪ1|c_ʊ0|l_ə0'], ['cʰ_ej1_s'], ['tʰ_ɒ1_m'], ['ə0|pʰ_ɒ1|l_ə0|dʒ_aj0_z_d'], ['w_ɪ1|t_ə0|m_ɒː0']]","[4, 2, 2, 1, 1, 1, 1, 1]"
2,For the twentieth time that evening the two men shook hands.,f_ɒː0 d̪_iː0 t_w_ɛ1_n|tʲ_i0|ə0_θ tʰ_aj1_m d̪_æ1_t iː1|v_ɲ_ɪ0_ŋ d̪_iː0 tʃ_ʉː1 m_ɛ1_n ʃ_ʊ1_k h_æ1_n_d_z,For the twen|ti|eth time that eve|ning the two men shook hands,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['f_ɒː0', 'f_ə0'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['t_w_ɛ1_n|tʲ_i0_ə_θ', 't_w_ɛ1|ɲ_i0_ə_θ', 't_w_ɛ1_n|tʲ_i0|ə0_θ', 't_w_ɛ1|ɲ_i0|ə0_θ'], ['tʰ_aj1_m'], ['d̪_æ1_t', 'd̪_æ1_ʔ', 'ð_æ1_t', 'ð_æ1_ʔ'], ['iː1|v_ə0|ɲ_ɪ0_ŋ', 'iː1|v_ɲ_ɪ0_ŋ'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['tʃ_ʉː1', 'tʰ_ʉː1'], ['m_ɛ1_n'], ['ʃ_ʊ1_k'], ['h_æ1_n_d_z']]","[2, 12, 4, 1, 4, 2, 12, 2, 1, 1, 1]"
3,"Lord, but I'm glad to see you again, Phil.",l_ɒː1_d b_ɐ0_t aj0_m ɟ_ʎ_æ1_d t_ə0 s_iː1 j_ʉ0 ə0|ɟ_ej1_n f_ɪ1_ɫ,Lord but I'm glad to see you a|gain Phil,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl']","[['l_ɒː1_d'], ['b_ɐ0_t', 'b_ɐ0_ʔ'], ['aj0_m'], ['ɟ_ʎ_æ1_d'], ['t_ə0', 'tʃ_ʉː0', 'tʰ_ʉː0'], ['s_iː1'], ['j_ʉ0'], ['ə0|ɟ_ej1_n', 'ə0|ɟ_ɛ1_n'], ['f_ɪ1_ɫ']]","[1, 2, 1, 1, 3, 1, 1, 2, 1]"
4,Will we ever forget it.,w_ɪ1_ɫ w_iː0 ɛ1|v_ə0 f_ɒː0|ɟ_ɛ1_t ɪ0_t,Will we ev|er for|get it,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'dataset', '1 vowel = 1 syl']","[['w_ɪ1_ɫ'], ['w_iː0'], ['ɛ1|v_ə0'], ['f_ɒː0|ɟ_ɛ1_t', 'f_ɒː0|ɟ_ɛ1_ʔ', 'f_ə0|ɟ_ɛ1_t', 'f_ə0|ɟ_ɛ1_ʔ'], ['ɪ0_t', 'ɪ0_ʔ']]","[1, 1, 1, 4, 2]"
5,"God bless 'em, I hope I'll go on seeing them forever.",ɡ_ɒ1_d b_l_ɛ1_s m̩1 aj1 h_əw1_p aj0_ɫ ɡ_əw1 ɑ1_n s_iː1|ɪ0_ŋ d̪_ɛ0_m f_ə0|ɹ_ɛ1|v_ə0,God bless 'em I hope I'll go on see|ing them for|ev|er,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'acronym', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', 'dataset']","[['ɡ_ɒ1_d', 'ɡ_ɒː1_d'], ['b_l_ɛ1_s'], ['m̩1', 'ɛ1_m', 'ɪ1_m'], ['aj1'], ['h_əw1_p'], ['aj0_ɫ', 'ɑː0_ɫ', 'ɫ̩0'], ['ɡ_əw1'], ['ɑ1_n', 'ɒ1_n'], ['s_iː1|ɪ0_ŋ'], ['d̪_ɛ0_m', 'm̩0', 'ð_ɛ0_m', 'ɛ0_m'], ['f_ə0|ɹ_ɛ1|v_ə0']]","[2, 1, 3, 1, 1, 3, 1, 2, 1, 4, 1]"
6,And you always want to see it in the superlative degree.,n̩0 j_ʉ0 ɒː1_ɫ|w_ej0_z w_ɒ1_n_t t_ə0 s_iː1 ɪ0_t ɪ1_n d̪_iː0 s_j_ʉː0|pʰ_ɜː1|l_ə0|t_ɪ0_v d_ɪ0|ɟ_ɹ_iː1,And you al|ways want to see it in the su|per|la|tive de|gree,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', 'dataset']","[['n̩0', 'n̩0_d', 'æ0_n_d', 'ɛ0_n', 'ʔ_æ0_n_d', 'ʔ_ɛ0_n'], ['j_ʉ0'], ['ɒː1_ɫ|w_ej0_z', 'ɒː1_ɫ|w_ɪ0_z'], ['w_ɒ1_n_t'], ['t_ə0', 'tʃ_ʉː0', 'tʰ_ʉː0'], ['s_iː1'], ['ɪ0_t', 'ɪ0_ʔ'], ['ɪ1_n', 'ʔ_ɪ1_n'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['s_j_ʉː0|pʰ_ɜː1|l_ə0|t_ɪ0_v', 's_ʉː0|pʰ_ɜː1|l_ə0|t_ɪ0_v'], ['d_ɪ0|ɟ_ɹ_iː1']]","[6, 1, 2, 1, 3, 1, 2, 2, 12, 2, 1]"
7,"Gad, your letter came just in time.",ɡ_æ1_d j_ɒː0 l_ɛ1|t_ə0 cʰ_ej1_m dʒ_ɐ1_s_t ɪ1_n tʰ_aj1_m,Gad your let|ter came just in time,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl']","[['ɡ_æ1_d'], ['j_ɒː0', 'j_ə0', 'j_ʊ0|ə0'], ['l_ɛ1|t_ə0', 'l_ɛ1|ʔ_ə0'], ['cʰ_ej1_m'], ['dʒ_ɐ1_s_t'], ['ɪ1_n', 'ʔ_ɪ1_n'], ['tʰ_aj1_m']]","[1, 3, 2, 1, 1, 2, 1]"
8,"He turned sharply, and faced Gregson across the table.",i0 tʰ_ɜː1_n_d ʃ_ɑː1|p_ʎ_i0 n̩0 f_ej1_s_t ɟ_ɹ_ɛ1|ɡ_s_ɒ0_n ə0|k_ɹ_ɒ1_s d̪_iː0 tʰ_ej1|b_ɫ̩0,He turned sharp|ly and faced Gre|gson a|cross the ta|ble,[],[],"['1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', 'SonoriPy', 'dataset', '1 vowel = 1 syl', 'dataset']","[['i0', 'ç_i0', 'ç_iː0'], ['tʰ_ɜː1_n_d'], ['ʃ_ɑː1|p_ʎ_i0'], ['n̩0', 'n̩0_d', 'æ0_n_d', 'ɛ0_n', 'ʔ_æ0_n_d', 'ʔ_ɛ0_n'], ['f_ej1_s_t'], ['ɟ_ɹ_ɛ1|ɡ_s_ɒ0_n'], ['ə0|k_ɹ_ɒ1_s'], ['d̪_iː0', 'd̪_iː0_ʔ', 'd̪_ə0', 'iː0', 'iː0_ʔ', 'l_ə0', 'n_ə0', 's_ə0', 'ð_iː0', 'ð_iː0_ʔ', 'ð_ə0', 'ə0'], ['tʰ_ej1|b_ɫ̩0']]","[3, 1, 1, 6, 1, 1, 1, 12, 1]"
9,I'm playing a single hand in what looks like a losing game.,aj0_m p_l_ej1|ɪ0_ŋ ej1 s_ɪ1_ŋ|ɡ_ɫ̩0 h_æ1_n_d ɪ1_n w_ɒ0_t l_ʊ1_k_s l_aj1_k ej1 l_ʉː1|z_ɪ0_ŋ ɟ_ej1_m,I'm play|ing a sin|gle hand in what looks like a los|ing game,[],[],"['1 vowel = 1 syl', 'SonoriPy', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', '1 vowel = 1 syl', 'dataset', '1 vowel = 1 syl']","[['aj0_m'], ['p_l_ej1|ɪ0_ŋ'], ['ej1'], ['s_ɪ1_ŋ|ɡ_ɫ̩0'], ['h_æ1_n_d'], ['ɪ1_n', 'ʔ_ɪ1_n'], ['w_ɒ0_t', 'w_ɒ0_ʔ'], ['l_ʊ1_k_s'], ['l_aj1_k'], ['ej1'], ['l_ʉː1|z_ɪ0_ŋ'], ['ɟ_ej1_m']]","[1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1]"
